2024-12-02 05:02:12.176 -05:00 [INF] Starting!
2024-12-02 05:02:12.287 -05:00 [INF] Final total time elapsed hh:mm:ss.fff: 00:00:00.117
2024-12-02 05:02:12.289 -05:00 [INF] Answer: 0
2024-12-02 05:10:17.720 -05:00 [INF] Starting!
2024-12-02 05:10:17.815 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.831 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.831 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.832 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.832 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.833 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.833 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.834 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.834 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.835 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.836 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.836 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.837 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.837 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.838 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.838 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.839 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.839 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.840 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.840 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.841 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.842 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.842 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.843 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.843 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.844 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.844 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.845 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.845 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.846 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.846 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.847 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.847 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.848 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.848 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.849 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.849 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.850 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.850 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.851 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.851 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.852 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.852 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.853 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.853 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.854 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.854 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.855 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.855 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.856 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.856 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.857 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.857 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.858 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.858 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.859 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.859 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.860 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.860 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.861 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.861 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.862 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.862 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.863 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.864 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.864 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.865 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.865 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.866 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.867 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.867 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.868 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.868 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.869 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.870 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.870 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.871 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.871 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.872 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.873 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.873 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.874 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.874 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.875 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.875 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.876 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.876 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.877 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.877 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.878 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.878 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.879 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.879 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.880 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.880 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.881 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.881 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.882 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.882 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.882 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.883 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.883 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.884 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.884 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.885 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.885 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.886 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.886 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.886 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.887 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.887 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.888 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.888 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.889 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.889 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.890 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.890 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.891 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.891 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.891 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.892 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.892 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.893 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.893 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.894 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.894 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.895 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.895 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.896 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.896 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.897 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.898 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.898 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.898 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.899 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.900 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.901 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.901 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.902 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.903 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.903 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.904 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.905 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.905 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.906 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.906 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.907 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.907 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.908 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.908 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.909 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.909 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.910 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.910 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.910 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.911 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.911 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.912 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.912 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.913 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.913 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.914 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.914 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.915 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.915 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.916 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.916 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.917 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.917 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.918 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.918 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.919 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.919 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.920 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.920 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.921 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.921 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.922 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.922 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.923 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.923 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.924 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.924 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.925 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.925 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.926 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.926 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.927 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.927 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.928 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.928 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.929 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.930 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.930 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.931 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.931 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.932 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.932 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.933 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.933 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.934 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.935 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.935 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.936 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.937 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.938 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.938 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.939 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.939 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.940 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.940 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.941 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.941 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.942 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.942 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.943 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.943 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.944 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.944 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.945 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.945 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.946 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.946 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.947 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.947 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.948 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.948 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.949 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.949 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.950 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.950 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.951 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.951 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.951 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.952 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.952 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.953 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.953 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.954 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.954 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.955 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.955 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.956 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.956 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.957 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.957 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.957 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.958 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.959 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.959 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.960 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.960 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.961 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.961 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.962 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.962 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.963 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.972 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.973 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.974 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.975 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.975 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.976 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.976 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.977 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.978 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.978 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.979 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.979 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.980 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.980 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.981 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.981 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.982 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.983 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.983 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.984 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.984 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.985 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.985 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:17.985 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:17.986 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:17.986 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.987 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.988 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.988 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:17.989 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:17.989 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:17.990 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:17.990 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
